CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;1;19.8;25.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;2;19.5;25.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;3;20.1;25.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;4;19.6;25.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;5;19.6;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;6;19.7;26.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;7;19.5;25.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;8;19.3;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;9;19.3;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;10;21.3;27.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;11;20.7;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;12;19.2;25.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;13;21.1;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;14;19.5;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;15;20.3;25.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;16;20.0;25.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;17;18.4;24.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;18;17.8;24.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;19;19.1;24.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;20;17.2;25.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;21;16.8;24.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;22;16.5;24.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;23;16.7;24.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;24;17.3;24.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;25;18.4;24.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;26;17.2;25.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;27;17.7;24.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;28;18.5;24.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;29;18.6;24.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;30;18.9;25.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;3;31;19.1;24.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;1;18.6;25.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;2;18.3;26.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;3;18.4;25.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;4;19.1;25.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;5;20.0;26.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;6;19.0;25.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;7;19.1;26.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;8;18.3;25.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;9;17.9;25.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;10;18.8;25.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;11;18.1;24.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;12;18.7;25.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;13;18.8;23.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;14;17.6;23.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;15;19.2;25.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;16;18.9;24.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;17;17.3;24.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;18;18.2;24.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;19;17.2;23.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;20;16.5;24.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;21;16.7;23.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;22;16.5;24.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;23;17.6;23.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;24;17.4;24.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;25;18.1;24.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;26;17.1;24.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;27;17.6;24.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;28;18.3;25.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;29;18.6;24.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;30;17.5;23.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;3;31;18.0;24.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;1;8.5;25.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;2;7.1;23.9
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;3;6.9;25.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;4;8.0;25.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;5;7.8;27.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;6;8.2;27.9
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;7;6.9;26.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;8;8.2;25.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;9;7.1;26.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;10;6.2;27.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;11;6.8;26.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;12;5.6;25.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;13;5.7;25.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;14;6.4;25.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;15;6.2;25.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;16;5.0;24.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;17;5.1;25.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;18;4.8;25.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;19;5.6;25.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;20;4.4;25.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;21;6.9;25.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;22;6.3;24.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;23;4.0;24.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;24;3.8;24.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;25;7.8;24.9
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;26;8.3;25.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;27;5.3;25.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;28;6.5;27.4
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;29;6.9;25.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;30;6.8;24.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2019;3;31;8.4;24.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2019;3;1;18.4;22.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2019;3;2;17.9;23.5
